name,id,recclass,mass (g),year,reclat,reclong,GeoLocation
Vilna,24183,L5,0.1,1967,54.225,-111.69167,"(54.225, -111.69167)"
Virba,24185,L6,3600,1873,43.53333,22.63333,"(43.53333, 22.63333)"
Vishnupur,24187,LL4-6,2437,1906,23.1,87.43333,"(23.1, 87.43333)"
Vissannapeta,24188,Eucrite-cm,1303.8,1997,16.83333,80.75,"(16.83333, 80.75)"
Visuni,24189,H6,594,1915,25.45,70,"(25.45, 70.0)"
Vouillé,24191,L6,20000,1831,46.63333,0.16667,"(46.63333, 0.16667)"
Walters,24210,L6,28100,1946,34.33333,-98.3,"(34.33333, -98.3)"
Warrenton,24215,CO3.7,1600,1877,38.68333,-91.15,"(38.68333, -91.15)"
Washougal,24218,Howardite,225,1939,45.58333,-122.35,"(45.58333, -122.35)"
Werdama,47344,H5,4000,2006,32.79732,21.78713,"(32.79732, 21.78713)"
Wessely,24244,H5,3750,1831,48.95,17.38333,"(48.95, 17.38333)"
Weston,24249,H4,150000,1807,41.266667,-73.266667,"(41.266667, -73.266667)"
Wethersfield (1971),24250,L6,350,1971,41.7,-72.65,"(41.7, -72.65)"
Wethersfield (1982),24251,L6,2756,1982,41.71056,-72.67361,"(41.71056, -72.67361)"
Whetstone Mountains,49514,H5,2138.74,2009,31.96185,-110.434183,"(31.96185, -110.434183)"
Wiluna,24281,H5,150000,1967,-26.59278,120.32833,"(-26.59278, 120.32833)"
Witklip Farm,24321,H5,22,1918,-26,30,"(-26.0, 30.0)"
Witsand Farm,24322,LL4,66,1932,-28.66667,18.91667,"(-28.66667, 18.91667)"
Wittekrantz,24323,L5,2200,1880,-32.5,23,"(-32.5, 23.0)"
Wolamo,24324,OC,166.4,1964,9,39,"(9.0, 39.0)"
Wold Cottage,24325,L6,25000,1795,54.13667,-0.41333,"(54.13667, -0.41333)"
Woolgorong,24334,L6,36000,1960,-27.75,115.83333,"(-27.75, 115.83333)"
Worden,24337,L5,1551,1997,42.38467,-83.6115,"(42.38467, -83.6115)"
Wuan,24340,H6,50000,1986,36.75,114.25,"(36.75, 114.25)"
Wuzhi,24342,Stone-uncl,,1931,35.13333,113.33333,"(35.13333, 113.33333)"
Xi Ujimgin,24345,L/LL6-an,5900,1980,44.66667,117.5,"(44.66667, 117.5)"
Xingyang,24346,H6,75500,1977,32.33333,114.31667,"(32.33333, 114.31667)"
Yafa,24351,H5,5700,2000,13.71111,45.17,"(13.71111, 45.17)"
Yambo,30345,H5,4,1951,1,22.5,"(1.0, 22.5)"
Yangchiang,30348,H5,20000,1954,21.83333,111.83333,"(21.83333, 111.83333)"
Yanzhuang,30350,H6,3500,1990,24.56667,114.16667,"(24.56667, 114.16667)"
Yardymly,30352,"Iron, IAB complex",150200,1959,38.93333,48.25,"(38.93333, 48.25)"
Yatoor,30358,H5,13600,1852,14.3,79.76667,"(14.3, 79.76667)"
Yonozu,30366,H4/5,31650,1837,37.75,139,"(37.75, 139.0)"
Yorktown (New York),30370,L5,250,1869,41.28333,-73.81667,"(41.28333, -73.81667)"
Yoshiki,30372,Stone-uncl,0.1,1928,34.16667,131.45,"(34.16667, 131.45)"
Yukan,30377,LL6,4800,1931,28.71667,116.61667,"(28.71667, 116.61667)"
Yurtuk,30378,Howardite,1472,1936,47.31667,35.36667,"(47.31667, 35.36667)"
Zaborzika,30379,L6,3867,1818,50.28333,27.68333,"(50.28333, 27.68333)"
Zabrodje,30380,L6,3000,1893,55.18333,27.91667,"(55.18333, 27.91667)"
Zag,30384,H3-6,175000,1998,27.33333,-9.33333,"(27.33333, -9.33333)"
Zagami,30386,Martian (shergottite),18000,1962,11.73333,7.08333,"(11.73333, 7.08333)"
Zaisan,30388,H5,463,1963,47.5,83,"(47.5, 83.0)"
Zaisho,30389,"Pallasite, PMG-an",330,1898,33.7,133.8,"(33.7, 133.8)"
Zaoyang,30391,H5,14250,1984,32.3,112.75,"(32.3, 112.75)"
Zavetnoe,30395,L6,800,1952,47.13333,43.9,"(47.13333, 43.9)"
Zavid,30396,L6,95000,1897,44.4,19.11667,"(44.4, 19.11667)"
Zebrak,30397,H5,2000,1824,49.88333,13.91667,"(49.88333, 13.91667)"
Zemaitkiemis,30399,L6,44100,1933,55.3,25,"(55.3, 25.0)"
Zhaodong,30404,L4,42000,1984,45.81667,125.91667,"(45.81667, 125.91667)"
Zhovtnevyi,30407,H6,107000,1938,47.58333,37.25,"(47.58333, 37.25)"
Zhuanghe,30408,H5,2900,1976,39.66667,122.98333,"(39.66667, 122.98333)"
Zmenj,30411,Howardite,246,1858,51.83333,26.83333,"(51.83333, 26.83333)"
Zomba,30412,L6,7500,1899,-15.18333,35.28333,"(-15.18333, 35.28333)"
Zsadany,30413,H5,552,1875,46.93333,21.5,"(46.93333, 21.5)"
Zvonkov,30415,H6,2568,1955,50.2,30.25,"(50.2, 30.25)"
Abajo,4,H5,331,1982,26.8,-105.41667,"(26.8, -105.41667)"
Abar al' Uj 001,51399,H3.8,194.34,2008,22.72192,48.95937,"(22.72192, 48.95937)"
Abbott,5,H3-6,21100,1951,36.3,-104.28333,"(36.3, -104.28333)"
Abernathy,7,L6,2914,1941,33.85,-101.8,"(33.85, -101.8)"
Abo,8,H,1.2,1840,60.43333,22.3,"(60.43333, 22.3)"
Abu Moharek,9,H4,4500,1997,27.23944,29.83583,"(27.23944, 29.83583)"
