id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,star_name,constellation
32276,32362.0,48737.0,2484.0,Gl 242,31Xi  Gem,Alzirr,6.754824,12.895591,17.9986,-115.16,-190.91,30.0,3.35,2.074,F5IV,0.443,-3.444569,17.203451,4.0169,3.25e-06,3.494e-05,-9.39e-06,1.768408782774948,0.2250705233692762,-5.583114345e-07,-9.25557797e-07,Xi,31.0,Gem,1,32276,,12.894366199598707,,,,Alzirr,Twins
32447,32533.0,49161.0,2503.0,,17    Mon,,6.788842,8.037254,151.0574,-23.34,-11.84,47.0,4.77,-1.126,K4III,1.396,-30.67067,146.395704,21.120444,6.72e-06,5.128e-05,-1.86e-06,1.7773146398892608,0.1402765447330337,-1.13155513e-07,-5.7401939e-08,,17.0,Mon,1,32447,,245.6970827636836,,,,,Unicorn
32521,32607.0,50241.0,2550.0,Gl 248,Alp Pic,,6.803194,-61.941391,29.6033,-68.39,242.03,20.6,3.24,0.883,A7IV,0.225,-2.906455,13.618019,-26.124095,1.13e-06,4.172e-05,-2.25e-06,1.7810719348143338,-1.0810812247976789,-3.315640761e-07,1.173394551e-06,Alp,,Pic,1,32521,,38.618908944898976,,,,,Painter's Easel
32672,32759.0,50013.0,2538.0,,13Kap CMa,,6.830683,-32.508478,202.0202,-9.18,4.04,14.0,3.5,-3.027,B1.5IVne,-0.116,-36.758571,166.353338,-108.570651,5.71e-06,1.581e-05,-4.36e-06,1.788268719573411,-0.56737996961837,-4.45058959e-08,1.9586472e-08,Kap,13.0,CMa,1,32672,,1415.1419329314303,Kap,3.586,3.436,,Greater Dog
32682,32768.0,50310.0,2553.0,,Tau Pup,,6.832266,-50.61456,55.8036,34.23,-65.85,36.0,2.94,-0.793,K0III...,1.207,-7.654383,34.572281,-43.130564,-1.111e-05,7.37e-06,-3.976e-05,1.788682995077575,-0.88339071643582,1.659517229e-07,-3.19249808e-07,Tau,,Pup,1,32682,,180.8006552110008,,,,,Stern
32932,33018.0,50019.0,2540.0,,34The Gem,,6.879816,33.961254,57.971,-2.66,-47.67,21.0,3.6,-0.216,A3III,0.102,-10.97736,46.812348,32.384569,-5.05e-06,2.48e-05,8.9e-07,1.801131679159616,0.5927356987815412,-1.28960439e-08,-2.31110681e-07,The,34.0,Gem,1,32932,,106.26738654024652,,,,,Twins
33073,33160.0,50778.0,2574.0,,14The CMa,,6.903167,-12.038628,79.9361,-139.04,-14.47,97.0,4.08,-0.434,K4III,1.418,-18.313512,76.003688,-16.672541,2.993e-05,0.00010581,-2.618e-05,1.8072447737567623,-0.2101136938347162,-6.740849414e-07,-7.0152539e-08,The,14.0,CMa,1,33073,,129.89726288978545,,,,,Greater Dog
33078,33165.0,50896.0,2583.0,,,,6.903623,-23.928336,100000.0,-3.86,4.75,130.0,6.65,-13.35,WN5 (SB1),-0.056,-21422.455486,88859.530452,-40559.369837,0.00157173,0.00146463,0.00205083,1.8073643782541795,-0.4176282544993212,-1.87138081e-08,2.3028649e-08,,,CMa,1,33078,,19054607.17963248,EZ,6.683,6.583,,Greater Dog
33260,33347.0,51309.0,2596.0,,20Iot CMa,,6.935618,-17.054242,769.2308,-2.46,1.91,41.0,4.36,-5.07,B3Ib/II,-0.063,-178.337623,713.454932,-225.597739,-1.33e-06,4.314e-05,-5.49e-06,1.8157405496438552,-0.2976526749755163,-1.19264165e-08,9.259941e-09,Iot,20.0,CMa,1,33260,,9289.663867799363,Iot,4.371,4.351,,Greater Dog
33362,33449.0,50522.0,2560.0,,15    Lyn,,6.954612,58.422759,54.6747,6.58,-123.53,9.0,4.35,0.661,G5III-IV,0.85,-7.080952,27.740855,46.57936,-9.78e-06,3.127e-05,-9.3e-06,1.8207131001314767,1.019669509709534,3.19007402e-08,-5.98890339e-07,,15.0,Lyn,1,33362,,47.38053933388255,,,,,Lynx
33492,33579.0,52089.0,2618.0,,21Eps CMa,Adhara,6.977097,-28.972084,124.2236,2.63,2.29,27.0,1.5,-3.971,B2II,-0.211,-27.497987,105.141608,-60.171969,-7.81e-06,2.362e-05,-1.217e-05,1.8265996485677485,-0.5056582518554612,1.27505998e-08,1.1102233e-08,Eps,21.0,CMa,1,33492,,3375.981048554255,,,,Adhara,Greater Dog
33769,33856.0,52877.0,2646.0,,22Sig CMa,Nganurganity,7.028652,-27.93483,343.6426,-6.01,4.64,22.0,3.49,-4.191,K4III,1.729,-80.775471,292.659236,-160.9853,3.4e-06,2.532e-05,-3.71e-06,1.8400968600486056,-0.4875547651656525,-2.91373022e-08,2.2495354e-08,Sig,22.0,CMa,1,33769,,4134.281080471351,Sig,3.546,3.446,Nganurganity,Greater Dog
33888,33977.0,53138.0,2653.0,,24Omi2CMa,,7.050409,-23.833291,847.4576,-1.56,4.28,48.0,3.02,-6.621,B3Ia,-0.077,-210.498109,746.064177,-342.438173,-7.95e-06,5.18e-05,-3.75e-06,1.8457927748229328,-0.4159693974372812,-7.5630934e-09,2.0750025e-08,Omi-2,24.0,CMa,1,33888,,38761.44867002412,Omi-2,3.065,2.985,,Greater Dog
